"Geneid","5-days-old","10-days-old","15-days-old","20-days-old","25-days-old","30-days-old","35-days-old","40-days-old","45-days-old","55-days-old"
"Glyma.02G308100",20.762,19.217,11.581,11.656,4.937,11.596,5.546,4.38,5.517,1.342
"Glyma.02G308500",15.899,11.128,5.917,5.099,5.051,5.393,5.606,5.167,8.807,5.204
"Glyma.02G309400",33.826,20.547,17.018,11.319,6.139,9.055,6.138,3.755,1.581,0.154
"Glyma.03G002900",7.811,4.38,2.056,1.434,0.949,1.099,0.703,0.452,0.264,0.053
"Glyma.03G003400",2.201,2.524,3.294,4.015,3.66,4.187,4.159,3.151,0.73,0.062
"Glyma.03G006900",43.961,26.165,13.938,8.884,4.484,8.185,5.121,3.185,2.082,0.638
"Glyma.03G007900",0.974,1.035,0.913,1.043,1.497,0.918,1.064,1.31,1.226,12.468
"Glyma.03G016700",15.988,11.113,7.119,5.298,3.608,4.577,3.728,2.495,2.635,0.938
"Glyma.03G021200",0.023,0.013,0.015,0,0.032,0.014,0.05,0.067,0.242,3.21
"Glyma.03G021900",13.102,10.24,9.939,9.195,6.587,7.518,5.174,3.363,2.519,0.951
"Glyma.03G027400",30.93,27.342,17.607,13.553,9.795,11.52,9.88,6.526,7.838,2.547
"Glyma.03G028900",0,0,0.014,0.655,66.555,3.41,89.894,104.12,88.686,9.643
"Glyma.03G031800",12.134,5.766,5.331,4.007,2.091,3.001,2.919,2.258,2.421,0.968
"Glyma.03G035200",5.38,3.836,3.51,3.466,4.357,3.511,4.759,3.276,3.719,4.481
"Glyma.03G040100",1.724,1.032,0.275,0.325,1.707,1.347,4.392,15.687,70.278,173.279
"Glyma.03G052200",0.333,2.427,5.361,10.026,28.434,11.731,28.021,37.164,128.353,197.992
"Glyma.03G055900",10.62,8.433,9.392,6.491,5.399,3.866,4.29,3.745,5.645,8.232
"Glyma.03G056700",13.843,5.411,3.208,2.356,0.673,1.531,0.914,0.607,0.092,0.048
"Glyma.03G058500",7.951,15.714,9.073,62.599,67.549,93.71,112.833,86.591,37.74,0.44
"Glyma.03G060000",0.12,0.194,0.359,0.844,3.974,1.866,3.701,4.542,12.332,29.109
"Glyma.03G076100",86.616,51.618,34.596,22.513,8.481,12.699,12.55,8.944,6.153,1.773
"Glyma.03G086100",41.295,35.671,27.652,25.177,9.501,15.894,15.431,13.363,6.514,0.276
"Glyma.03G086400",369.921,266.201,154.631,100.13,64.209,82.912,55.96,47.124,53.107,59.358
"Glyma.03G091200",14.684,10.711,7.083,5.074,1.979,3.481,2.516,1.814,1.869,0.293
"Glyma.03G098600",0.079,0.068,0.181,0.116,0.103,0.078,0.088,0.073,0.133,0.078
"Glyma.03G102700",21.934,16.714,15.747,16.348,8.52,12.716,10.426,6.862,2.992,2.368
"Glyma.03G102900",18.978,16.962,11.612,7.459,4.316,5.644,4.258,2.791,3.941,1.136
"Glyma.03G109500",274.378,209.891,132.858,93.004,37.724,50.203,50.792,36.273,32.577,18.932
"Glyma.03G115300",45.585,40.069,17.504,13.28,6.98,16.407,7.069,7.622,3.919,0.623
"Glyma.03G124300",10.847,7.355,4.823,6.703,2.021,4.752,1.804,0.472,0.372,0.172
"Glyma.03G124400",151.69,114.103,72.858,70.495,204.44,83.679,149.025,71.826,29.781,3.693
"Glyma.03G125200",53.734,49.031,38.951,33.029,13.284,20.68,12.132,5.51,0.972,0.042
"Glyma.03G130900",2.371,1.885,0.815,1.043,0.564,0.385,0.339,0.381,0.36,0.707
"Glyma.03G137300",20.221,13.615,7.46,7.171,2.712,6.284,2.623,1.486,0.392,0.07
"Glyma.03G137900",1.593,1.174,0.634,0.848,2.698,1.021,7.072,15.192,62.472,1729.088
"Glyma.03G138900",0,0,0,0.011,0.006,0.012,0,0,0,0
"Glyma.03G139200",26.346,17.091,11.029,6.094,4.514,5.968,4.482,4.206,4.459,3.795
"Glyma.03G139700",13.553,8.805,6.741,4.696,2.847,3.93,3.505,2.671,1.28,0.262
"Glyma.03G140100",4.674,4.117,3.982,4.932,4.331,5.18,3.47,2.183,2.09,0.528
"Glyma.03G140700",17.087,15.593,9.799,8.282,3.942,6.958,3.107,1.555,0.354,0.012
"Glyma.03G141700",0.555,0.507,0.941,1.135,1.032,1.007,1.721,2.07,10.168,23.375
"Glyma.03G142500",67.383,44.351,34.858,31.389,19.632,25.83,18.316,13.677,10.04,8.758
"Glyma.03G144400",14.819,28.017,35.15,127.901,444.27,129.87,756.677,1096.89,5528.495,8943.142
"Glyma.03G144500",31.103,57.959,88.823,67.89,39.962,51.293,45.266,38.679,110.081,100.92
"Glyma.03G150700",25.518,19.432,13.491,10.779,5.534,8.578,6.127,4.244,4.691,7.447
"Glyma.03G152400",0.844,0.347,0.287,0.232,0.316,0.236,0.347,0.52,1.839,9.613
"Glyma.03G156600",7.798,6.757,5.568,4.821,1.257,2.809,1.025,0.27,0.147,0.12
"Glyma.03G159500",6.937,4.347,2.298,2.32,2.217,2.025,1.996,1.274,2.59,8.353
"Glyma.03G164400",31.607,24.777,21.326,16.53,14.258,14.366,13.568,8.306,7.728,0.554
"Glyma.03G166500",0.518,0.507,0.849,0.918,0.368,0.706,0.454,0.362,0.045,0
